id,name,Class Nbr.,Class Name,spacegroup,spacegroupset,Locality Num
1,Abelsonite,2,Pinacoidal,2,0,10
2,Abenakiite-(Ce),10,Rhombohedral,80,0,2
3,Abernathyite,27,Ditetragonal dipyramidal,184,P4/ncc ,21
4,Abhurite,12,Trigonal trapezohedral,93,0,7
9,Abswurmbachite,27,Ditetragonal dipyramidal,177,0,4
10,Acanthite,5,Prismatic,15,0,3644
13,Acetamide,11,Ditrigonal pyramidal,85,0,3
14,Achávalite,20,Dihexagonal dipyramidal,126,P63/mmc ,3
18,Actinolite,5,Prismatic,11,C2/m ,4280
19,Acuminite,5,Prismatic,10,C2/c ,1
21,Adamite,8,Orthorhombic dipyramidal,73,Pnnm ,323
23,Adelite,7,Orthorhombic disphenoidal,44,P21 21 21,18
27,Admontite,5,Prismatic,14,P21/c ,1
31,Aegirine,5,Prismatic,10,C2/c ,1750
32,Aegirine-augite,5,Prismatic,10,C2/c ,786
33,Aenigmatite,2,Pinacoidal,2,0,342
34,Aerinite,11,Ditrigonal pyramidal,83,0,29
36,Aerugite,13,Hexagonal scalenohedral,99,R-3m ,4
37,Aeschynite-(Ce),8,Orthorhombic dipyramidal,70,0,58
38,Aeschynite-(Nd),8,Orthorhombic dipyramidal,0,0,11
39,Aeschynite-(Y),8,Orthorhombic dipyramidal,70,0,181
41,Afghanite,11,Ditrigonal pyramidal,81,P3 1c,28
42,Afwillite,3,Domatic,3,0,50
43,Agardite-(Nd),16,Hexagonal dipyramidal,108,0,22
44,Agardite-(Y),16,Hexagonal dipyramidal,108,P63/m,110
48,Agardite-(Ce),16,Hexagonal dipyramidal,108,P63/m,51
50,Agardite-(La),16,Hexagonal dipyramidal,108,0,47
57,Agrellite,2,Pinacoidal,2,0,11
58,Agrinierite,3,Domatic,4,Cm ,1
59,Aguilarite,5,Prismatic,0,0,127
60,Aheylite,2,Pinacoidal,2,0,6
61,Ahlfeldite,5,Prismatic,0,0,2
63,Aikinite,8,Orthorhombic dipyramidal,71,0,420
66,Ajoite,0,Unknown,0,0,18
67,Akaganeite,5,Prismatic,0,0,73
68,Akatoreite,2,Pinacoidal,2,0,5
69,Akdalaite,0,Unknown,0,0,6
70,Åkermanite,24,Tetragonal scalenohedral,146,0,63
71,Akhtenskite,20,Dihexagonal dipyramidal,126,0,8
72,Akrochordite,5,Prismatic,14,P21/c ,5
73,Aksaite,8,Orthorhombic dipyramidal,61,0,1
74,Aktashite,9,Trigonal pyramidal,78,0,26
87,Aluminocopiapite,2,Pinacoidal,2,0,61
89,Alabandite,32,Hexoctahedral,224,Fm3m ,381
91,Alacránite,5,Prismatic,12,P2/c ,25
93,Alamosite,5,Prismatic,13,P2/m ,19
94,Alarsite,12,Trigonal trapezohedral,89,0,2
96,Albite,2,Pinacoidal,0,0,11465
97,Albrechtschraufite,2,Pinacoidal,2,0,2
104,Aldermanite,5,Prismatic,14,P21/c ,5
106,Ferro-taramite,5,Prismatic,11,C2/m ,6
107,Aluminium,32,Hexoctahedral,224,Fm3m ,36
108,Aleksite,13,Hexagonal scalenohedral,95,P-3 1m ,34
112,Alforsite,16,Hexagonal dipyramidal,108,P63/m,9
114,Algodonite,20,Dihexagonal dipyramidal,126,P63/mmc ,48
115,Aliettite,0,Unknown,0,0,9
122,Allactite,5,Prismatic,14,P21/a,15
125,Allanite-(Ce),5,Prismatic,15,0,880
126,Allanite-(La),5,Prismatic,15,0,31
127,Allanite-(Y),0,Unknown,0,0,35
128,Allargentum,0,Unknown,0,0,82
129,Alleghanyite,5,Prismatic,14,P21/b ,95
134,Alloclasite,4,Sphenoidal,9,0,84
139,Allophane,0,Unknown,0,0,593
141,Alluaivite,13,Hexagonal scalenohedral,99,R-3m ,5
142,Alluaudite,5,Prismatic,10,C2/c ,114
146,Alstonite,0,Unknown,0,0,33
147,Altaite,32,Hexoctahedral,224,Fm3m ,667
148,Althausite,8,Orthorhombic dipyramidal,71,Pnma ,6
149,Althupite,2,Pinacoidal,2,P-1,1
150,Altisite,5,Prismatic,11,C2/m ,2
154,Aluminite,5,Prismatic,14,0,99
157,Alumohydrocalcite,2,Pinacoidal,2,0,57
158,Pharmacoalumite,30,Hextetrahedral,211,P-4 3m,19
159,Alumotantite,8,Orthorhombic dipyramidal,63,0,5
161,Alunite,11,Ditrigonal pyramidal,86,0,1278
162,Alunogen,2,Pinacoidal,2,0,340
165,Alvanite,5,Prismatic,15,0,4
180,Amakinite,0,Unknown,0,0,5
182,Amarantite,2,Pinacoidal,2,0,29
183,Amarillite,5,Prismatic,10,0,11
189,Amblygonite,2,Pinacoidal,2,P-1,336
195,Ameghinite,5,Prismatic,10,C2/c ,1
197,Amesite,1,Pedial,1,P1,96
199,Amicite,4,Sphenoidal,0,0,7
200,Aminoffite,23,Tetragonal dipyramidal,140,0,5
203,Ammonioalunite,0,Unknown,0,0,15
204,Ammonioborite,5,Prismatic,10,0,1
205,Ammoniojarosite,11,Ditrigonal pyramidal,86,0,38
206,Ammonioleucite,23,Tetragonal dipyramidal,136,0,4
208,Amstallite,5,Prismatic,10,C2/c ,2
210,Analcime,1,Pedial,1,P1,2321
211,Anapaite,2,Pinacoidal,2,P-1,27
213,Anatase,27,Ditetragonal dipyramidal,178,0,2719
216,Ancylite-(Ce),8,Orthorhombic dipyramidal,0,0,136
217,Andalusite,8,Orthorhombic dipyramidal,73,Pnnm ,1598
219,Andersonite,10,Rhombohedral,80,0,54
223,Andradite,32,Hexoctahedral,225,0,2042
225,Andrémeyerite,5,Prismatic,14,P21/c ,2
227,Anduoite,0,Unknown,0,0,10
231,Angelellite,2,Pinacoidal,2,P-1,4
233,Anglesite,8,Orthorhombic dipyramidal,71,0,3342
234,Anhydrite,8,Orthorhombic dipyramidal,0,0,1966
235,Anhydrokainite,0,Unknown,0,0,2
236,Anilite,8,Orthorhombic dipyramidal,71,0,127
239,Ankerite,10,Rhombohedral,80,0,3881
240,Annabergite,5,Prismatic,11,C2/m ,528
241,Annite,5,Prismatic,11,C2/m ,473
246,Anorthite,2,Pinacoidal,2,0,1517
251,Antarcticite,12,Trigonal trapezohedral,90,0,15
252,Anthoinite,2,Pinacoidal,0,0,15
253,Anthonyite,5,Prismatic,0,0,6
254,Anthophyllite,8,Orthorhombic dipyramidal,71,0,828
260,Antigorite,3,Domatic,4,0,900
262,Antimony,13,Hexagonal scalenohedral,99,R-3m ,444
266,Antimonselite,8,Orthorhombic dipyramidal,71,0,11
268,Antlerite,8,Orthorhombic dipyramidal,0,0,323
271,Anyuiite,27,Ditetragonal dipyramidal,175,I4/mcm ,12
272,Apachite,0,Unknown,0,0,5
280,Aphthitalite,13,Hexagonal scalenohedral,97,P-3m1 ,107
281,Apjohnite,5,Prismatic,14,P21/c ,36
282,Aplowite,5,Prismatic,0,0,11
285,Apuanite,27,Ditetragonal dipyramidal,187,0,1
290,Argentojarosite,11,Ditrigonal pyramidal,86,0,76
291,Argentopentlandite,32,Hexoctahedral,224,Fm3m ,93
292,Arsenogoyazite,13,Hexagonal scalenohedral,99,0,25
294,Arsenolite,32,Hexoctahedral,222,0,292
295,Arsenoflorencite-(La),13,Hexagonal scalenohedral,99,R-3m ,5
299,Argentopyrite,5,Prismatic,0,0,78
301,Arsenohauchecornite,0,Unknown,0,0,7
303,Arsenopalladinite,1,Pedial,1,0,43
304,Arsenogorceixite,13,Hexagonal scalenohedral,99,R-3m ,18
305,Arsenopyrite,5,Prismatic,14,P21/c ,10675
307,Aragonite,8,Orthorhombic dipyramidal,0,0,3927
310,Aramayoite,2,Pinacoidal,2,0,39
311,Aravaipaite,2,Pinacoidal,2,0,2
312,Arsenolamprite,8,Orthorhombic dipyramidal,0,0,28
314,Arcanite,8,Orthorhombic dipyramidal,0,0,40
315,Archerite,24,Tetragonal scalenohedral,141,I-4 2d,8
316,Arctite,13,Hexagonal scalenohedral,99,R-3m ,6
318,Arcubisite,0,Unknown,0,0,8
319,Argentotennantite-(Zn),30,Hextetrahedral,210,0,20
320,Ardaite,0,Unknown,0,0,2
321,Ardealite,3,Domatic,3,Cc ,39
322,Ardennite-(As),8,Orthorhombic dipyramidal,0,0,42
325,Arfvedsonite,5,Prismatic,11,C2/m ,645
330,Argutite,27,Ditetragonal dipyramidal,190,0,17
331,Argyrodite,6,Orthorhombic pyramidal,35,Pna21,93
333,Arhbarite,1,Pedial,1,P1,3
334,Aristarainite,5,Prismatic,14,P21/a,4
341,Armalcolite,8,Orthorhombic dipyramidal,0,0,48
342,Armangite,10,Rhombohedral,79,0,4
343,Armenite,8,Orthorhombic dipyramidal,72,Pnna ,27
344,Armstrongite,5,Prismatic,11,C2/m ,8
351,Arrojadite-(KFe),3,Domatic,3,Cc ,63
356,Arsendescloizite,7,Orthorhombic disphenoidal,44,P21 21 21,31
357,Arsenic,13,Hexagonal scalenohedral,99,R-3m ,454
359,Arseniopleite,5,Prismatic,0,0,10
360,Arseniosiderite,5,Prismatic,10,0,255
364,Arsenoclasite,7,Orthorhombic disphenoidal,44,0,5
365,Arsenocrandallite,13,Hexagonal scalenohedral,0,0,17
366,Arsenoflorencite-(Ce),13,Hexagonal scalenohedral,99,R-3m ,10
372,Arsentsumebite,5,Prismatic,15,0,43
373,Arsenuranospathite,6,Orthorhombic pyramidal,37,0,19
374,Arsenuranylite,8,Orthorhombic dipyramidal,0,0,7
376,Arthurite,5,Prismatic,14,P21/c ,42
377,Artinite,5,Prismatic,11,C2/m ,89
378,Artroeite,2,Pinacoidal,2,0,5
379,Arupite,5,Prismatic,11,0,2
381,Arzrunite,0,Unknown,0,0,2
382,Asbecasite,11,Ditrigonal pyramidal,83,0,9
384,Asbolane,0,Unknown,0,0,193
386,Aschamalmite,5,Prismatic,11,C2/m ,19
388,Ashburtonite,0,Unknown,0,0,4
389,Ashcroftine-(Y),27,Ditetragonal dipyramidal,176,0,3
391,Asisite,27,Ditetragonal dipyramidal,176,0,3
397,Asselbornite,0,Unknown,0,0,4
404,Astrocyanite-(Ce),0,Unknown,0,0,1
405,Astrophyllite,2,Pinacoidal,2,0,248
406,Atacamite,8,Orthorhombic dipyramidal,71,0,687
407,Atelestite,5,Prismatic,14,P21/c ,61
408,Athabascaite,0,Unknown,0,0,20
409,Atheneite,17,Ditrigonal dipyramidal,110,P-62m,24
412,Atlasovite,27,Ditetragonal dipyramidal,184,0,2
413,Atokite,32,Hexoctahedral,224,Fm3m ,52
415,Attakolite,5,Prismatic,11,C2/m ,3
416,Aubertite,2,Pinacoidal,2,0,16
419,Augite,5,Prismatic,10,C2/c ,2939
