,n_minerals,symmetry_index,h_to_all_ratio,avg_num_loc,rare_to_all_ratio
p01,25,0.6133333333333334,0.04,2041.08,0.0
p02,1,0.5,1.0,70.0,0.0
p03,51,0.40318627450980393,0.0196078431372549,1872.8431372549019,0.35294117647058826
p04,56,0.4263392857142857,0.0,1888.0535714285713,0.07142857142857142
p05,101,0.4566831683168317,0.009900990099009901,1927.2475247524753,0.18811881188118812
p06,211,0.3957345971563981,0.1848341232227488,2196.1563981042655,0.1990521327014218
p07,149,0.44211409395973156,0.2080536912751678,1121.9127516778524,0.2550335570469799
p08,95,0.37105263157894736,0.4631578947368421,2295.621052631579,0.11578947368421053
p09,138,0.29891304347826086,0.4855072463768116,1323.5869565217392,0.26811594202898553
p10,123,0.24932249322493225,0.7398373983739838,1453.138211382114,0.2032520325203252
p11,39,0.36378205128205127,0.0,5297.2307692307695,0.28205128205128205
p12,128,0.4578450520833333,0.046875,2963.8984375,0.15625
p13,75,0.3486111111111111,0.72,355.6933333333333,0.24
p14,70,0.24970238095238098,0.6571428571428571,3541.1857142857143,0.014285714285714285
p15,40,0.5375,0.125,8565.4,0.025
p16,90,0.18796296296296297,0.9444444444444444,1608.0222222222221,0.044444444444444446
p17,66,0.26167929292929293,0.7727272727272727,3554.409090909091,0.10606060606060606
p18,4,0.2916666666666667,1.0,28.75,0.25
p19,127,0.27755905511811024,0.48031496062992124,3372.8897637795276,0.11811023622047244
p20,51,0.19117647058823528,0.39215686274509803,2440.1176470588234,0.058823529411764705
p21,74,0.24887387387387389,0.6891891891891891,1664.1486486486488,0.16216216216216217
p22,241,0.1937240663900415,0.8755186721991701,315.53526970954357,0.4066390041493776
p23,396,0.2749894781144781,0.5252525252525253,1178.9873737373737,0.3409090909090909
p24,91,0.26304945054945056,0.6263736263736264,3554.032967032967,0.03296703296703297
p25,201,0.24492122719734657,0.7512437810945274,1119.134328358209,0.26865671641791045
p26,248,0.4225470430107527,0.23790322580645162,1893.1733870967741,0.10080645161290322
p27,11,0.25757575757575757,1.0,82.36363636363636,0.09090909090909091
p28,11,0.37121212121212116,0.2727272727272727,3606.5454545454545,0.09090909090909091
p29,11,0.4715909090909091,0.0,1407.4545454545455,0.09090909090909091
p30,16,0.3606770833333333,0.0,572.3125,0.25
p31,360,0.2689236111111111,0.5138888888888888,739.4194444444445,0.25555555555555554
p32,417,0.24865107913669066,0.6115107913669064,476.0791366906475,0.3908872901678657
p33,783,0.38093337590464027,0.0421455938697318,562.1417624521073,0.33077905491698595
p34,582,0.24595504009163804,0.520618556701031,711.4261168384879,0.34536082474226804
p35,778,0.26585261353898887,0.5642673521850899,329.9305912596401,0.41516709511568123
p36,298,0.40604026845637586,0.1912751677852349,1571.996644295302,0.1644295302013423
p37,146,0.5195490867579909,0.04794520547945205,2600.9657534246576,0.0821917808219178
p38,128,0.5242513020833334,0.2109375,2704.578125,0.125
p39,77,0.2527056277056277,0.5194805194805194,710.4415584415584,0.22077922077922077
p40,330,0.2753156565656566,0.509090909090909,1509.1424242424243,0.13636363636363635
p41,19,0.22807017543859648,0.3684210526315789,1180.7894736842106,0.10526315789473684
p42,14,0.3244047619047619,0.8571428571428571,181.85714285714286,0.0
p43,12,0.15277777777777776,0.8333333333333334,13472.75,0.0
p44,14,0.5089285714285714,0.07142857142857142,13872.142857142857,0.0
p45a,250,0.25133333333333335,0.42,262.836,0.492
p45b,270,0.3006172839506173,0.3814814814814815,445.5962962962963,0.4185185185185185
p46,48,0.2881944444444445,0.7708333333333334,477.4791666666667,0.4791666666666667
p47a,1559,0.19879196065854182,0.9692110327132777,97.22065426555484,0.4220654265554843
p47b,372,0.22071012544802868,0.9301075268817204,137.6747311827957,0.3682795698924731
p47c,515,0.18005663430420712,0.9145631067961165,159.90485436893204,0.39611650485436894
p47d,450,0.2076388888888889,0.8288888888888889,48.78666666666667,0.44222222222222224
p47e,339,0.1763765978367748,0.7787610619469026,52.902654867256636,0.4690265486725664
p47f,199,0.15201005025125627,0.949748743718593,42.60301507537689,0.4623115577889447
p47g,224,0.3041294642857143,0.6294642857142857,58.473214285714285,0.4642857142857143
p47h,296,0.2667511261261261,0.2905405405405405,721.1722972972973,0.3277027027027027
p47i,28,0.3199404761904762,0.6428571428571429,1102.107142857143,0.25
p48,79,0.23997890295358648,0.8227848101265823,972.8354430379746,0.02531645569620253
p49,85,0.35539215686274506,0.49411764705882355,5666.788235294118,0.03529411764705882
p50,280,0.3327380952380953,0.42142857142857143,1868.3964285714285,0.12142857142857143
p51,152,0.4043311403508772,0.1513157894736842,820.2171052631579,0.35526315789473684
p52,69,0.19655797101449277,0.8985507246376812,46.6231884057971,0.2898550724637681
p53,125,0.2405,0.704,2208.504,0.376
p54,251,0.3540006640106242,0.3545816733067729,1788.7330677290836,0.11952191235059761
p55,244,0.1766564207650273,0.8442622950819673,654.7254098360655,0.3073770491803279
p56,137,0.24817518248175183,0.5985401459854015,128.24087591240877,0.08759124087591241
p57,47,0.24822695035460993,0.6382978723404256,508.5744680851064,0.2978723404255319
